comp,ss,pvar,df,ms,f,pval,confint
\rowcolor{gray!8}A: Approach,18764.38,3.12\%,1,18764.38,51.9,9.21e-05,"-45.21, -23.28"
B: Model,8650.66,1.44\%,1,8650.66,23.93,1.21e-03,"-34.21, -12.29"
\rowcolor{gray!8}C: Performance,301640.68,50.12\%,1,301640.68,834.29,2.23e-09,"-148.27, -126.34"
D: Parallelism,220848.43,36.69\%,1,220848.43,610.83,7.68e-09,"-128.45, -106.52"
\rowcolor{gray!8}AB: Approach x Model,,,,,,,,
\rowcolor{gray!8}CD: Performance x Parallelism,\multirow{ -2}{*}{45743.89},\multirow{ -2}{*}{7.6\%},\multirow{ -2}{*}{1},\multirow{ -2}{*}{45743.89},\multirow{ -2}{*}{126.52},\multirow{ -2}{*}{3.50e-06},"\multirow{ -2}{*}{42.51, 64.43}"
AC: Approach x Performance,,,,,,,,
BD: Model x Parallelism,\multirow{ -2}{*}{1763.18},\multirow{ -2}{*}{0.29\%},\multirow{ -2}{*}{1},\multirow{ -2}{*}{1763.18},\multirow{ -2}{*}{4.88},\multirow{ -2}{*}{0.058},"\multirow{ -2}{*}{-0.46, 21.46}"
\rowcolor{gray!8}BC: Model x Performance,,,,,,,,
\rowcolor{gray!8}AD: Approach x Parallelism,\multirow{ -2}{*}{1567.19},\multirow{ -2}{*}{0.26\%},\multirow{ -2}{*}{1},\multirow{ -2}{*}{1567.19},\multirow{ -2}{*}{4.33},\multirow{ -2}{*}{0.071},"\multirow{ -2}{*}{-1.07, 20.86}"
Error,2892.44,0.48\%,8,361.56,,,
\rowcolor{gray!8}Total,601870.85,100\%,16,,,,
